#{"t_start": 1702587931.593292, "env_id": "None"}
r,l,t
-10.0,4,3007.956318
0.0,5,3007.986485
-7.0,1,3007.992773
0.0,5,3008.021982
0.0,5,3008.048044
10.0,3,3008.069098
0.0,5,3008.094272
-7.0,1,3008.101302
10.0,4,3008.127366
-7.0,1,3008.131624
-7.0,1,3008.136635
-7.0,1,3008.151165
-7.0,1,3008.157695
10.0,4,3008.192724
-7.0,1,3008.198366
0.0,5,3008.226894
-7.0,1,3008.2304
-7.0,1,3008.236573
-7.0,1,3008.241582
0.0,5,3008.267355
-7.0,1,3008.280414
0.0,5,3008.3085
-10.0,4,3008.323702
-7.0,1,3008.338724
-7.0,1,3008.344237
-7.0,1,3008.348234
-7.0,1,3008.353299
-7.0,1,3008.358269
0.0,5,3008.387862
-7.0,1,3008.401952
-7.0,1,3008.406977
10.0,3,3008.419523
0.0,5,3008.448645
-7.0,1,3008.465267
10.0,4,3008.485345
-7.0,1,3008.503396
0.0,5,3008.538482
10.0,3,3008.551521
-7.0,1,3008.558545
0.0,5,3008.598208
-7.0,1,3008.615698
10.0,4,3008.631239
-7.0,1,3008.644292
0.0,5,3008.673383
-7.0,1,3008.678903
0.0,5,3008.709651
-7.0,1,3008.714678
0.0,5,3008.746272
-7.0,1,3008.74927
0.0,5,3008.785255
0.0,5,3008.811621
-7.0,1,3008.816638
10.0,4,3008.838972
0.0,5,3008.867891
-7.0,1,3008.872992
-7.0,1,3008.887638
-10.0,4,3008.903483
-7.0,1,3008.920504
-7.0,1,3008.926253
-10.0,3,3008.939281
-7.0,1,3008.960874
-7.0,1,3008.967402
-7.0,1,3008.974449
-7.0,1,3008.981486
-7.0,1,3008.988003
-7.0,1,3009.006614
-7.0,1,3009.012906
10.0,4,3009.039423
-7.0,1,3009.04546
0.0,5,3009.072527
0.0,5,3009.09844
-7.0,1,3009.104512
-7.0,1,3009.109515
0.0,5,3009.138921
10.0,4,3009.165302
-7.0,1,3009.171296
-7.0,1,3009.177315
10.0,4,3009.203227
-7.0,1,3009.210731
0.0,5,3009.238355
-7.0,1,3009.264311
0.0,5,3009.307585
-7.0,1,3009.313625
0.0,5,3009.342011
-7.0,1,3009.346017
-7.0,1,3009.350521
0.0,5,3009.390357
0.0,5,3009.422652
-7.0,1,3009.426656
-10.0,3,3009.446213
-7.0,1,3009.451233
-7.0,1,3009.455529
10.0,4,3009.482105
-7.0,1,3009.488114
-7.0,1,3009.504694
-10.0,3,3009.515332
-7.0,1,3009.520336
0.0,5,3009.54742
-7.0,1,3009.566009
-7.0,1,3009.570515
-10.0,4,3009.603615
-10.0,4,3009.619672
