#{"t_start": 1702587931.5882936, "env_id": "None"}
r,l,t
-7.0,1,640.946169
-7.0,1,640.94817
-7.0,1,640.951174
-7.0,3,640.955166
-7.0,3,640.962167
-7.0,1,640.965169
-7.0,2,640.967166
-7.0,3,640.973176
-7.0,1,640.979178
-7.0,1,640.981176
-7.0,1,640.983688
-7.0,1,640.986702
-7.0,1,640.990696
-7.0,1,640.992698
-10.0,4,641.0027
-7.0,1,641.004699
-7.0,3,641.009706
-7.0,3,641.0157
-7.0,1,641.017704
-7.0,4,641.022699
-7.0,1,641.0267
-7.0,1,641.028701
-7.0,1,641.0327
-7.0,3,641.036697
-7.0,2,641.039703
-7.0,5,641.048701
-7.0,1,641.050698
-7.0,3,641.054702
-7.0,4,641.059699
-7.0,1,641.063702
-7.0,2,641.067702
-7.0,1,641.069705
-7.0,1,641.072704
-7.0,1,641.074707
-7.0,2,641.079709
-7.0,4,641.086231
-7.0,2,641.091228
-7.0,1,641.093232
-7.0,5,641.100227
-7.0,3,641.102226
-7.0,1,641.105225
-7.0,1,641.107228
-7.0,3,641.113231
-7.0,1,641.115232
-7.0,4,641.123227
-7.0,1,641.126229
-7.0,1,641.130231
-7.0,1,641.13323
-7.0,2,641.137229
-7.0,2,641.13923
-7.0,1,641.141229
-7.0,4,641.147234
-7.0,3,641.151228
-7.0,2,641.153228
-7.0,1,641.155233
-7.0,1,641.157228
-7.0,4,641.162231
-7.0,4,641.167226
-7.0,1,641.169244
-7.0,1,641.171246
-7.0,3,641.176328
-7.0,1,641.177331
-7.0,1,641.181333
-7.0,1,641.183845
-7.0,1,641.199856
-7.0,1,641.201855
-7.0,3,641.205855
-7.0,4,641.210855
-7.0,3,641.218853
-7.0,5,641.225855
-7.0,1,641.227858
-7.0,1,641.229859
-7.0,1,641.233854
-7.0,1,641.235856
-7.0,3,641.238856
-7.0,1,641.240855
-7.0,1,641.246855
-10.0,3,641.250866
-7.0,2,641.253854
-7.0,1,641.255855
-7.0,2,641.259798
-7.0,1,641.261801
-7.0,1,641.263798
-7.0,1,641.265803
-7.0,4,641.270806
-7.0,1,641.272808
-7.0,1,641.274805
-7.0,3,641.276806
-7.0,4,641.281804
-7.0,1,641.282807
-7.0,1,641.286013
-7.0,1,641.288015
-7.0,4,641.293014
-7.0,1,641.295012
-7.0,3,641.301013
-7.0,1,641.303014
-7.0,1,641.306013
-7.0,1,641.307014
-7.0,3,641.310013
-7.0,3,641.314016
-7.0,4,641.319013
-7.0,1,641.321014
-7.0,3,641.324013
-7.0,1,641.325013
-7.0,3,641.330018
-7.0,1,641.333012
-7.0,1,641.335014
-10.0,3,641.338013
-7.0,4,641.34201
-7.0,2,641.344013
-7.0,1,641.347011
-7.0,1,641.349017
-7.0,4,641.356012
-7.0,3,641.359011
-10.0,4,641.364013
-7.0,1,641.366013
-7.0,3,641.370016
-7.0,2,641.371017
-7.0,3,641.374018
-7.0,4,641.378018
-7.0,2,641.38302
-7.0,1,641.385271
-7.0,3,641.387267
-7.0,1,641.389269
-7.0,3,641.393266
-7.0,2,641.396275
-7.0,5,641.402267
-7.0,1,641.404268
-7.0,2,641.408267
-7.0,1,641.410266
-7.0,1,641.412266
-7.0,1,641.415272
-7.0,3,641.420268
-7.0,5,641.423267
-10.0,4,641.427267
10.0,4,641.432268
-7.0,2,641.436271
-7.0,4,641.438268
-7.0,3,641.441266
-7.0,3,641.44327
-7.0,4,641.44927
-7.0,1,641.450267
-7.0,2,641.452268
-7.0,1,641.454268
-7.0,1,641.457267
-7.0,1,641.459271
-7.0,1,641.462268
-7.0,2,641.465267
-7.0,1,641.469275
-7.0,1,641.471275
-7.0,1,641.472279
-7.0,1,641.475279
-7.0,1,641.477274
-7.0,1,641.480279
-7.0,3,641.483283
-7.0,4,641.486406
-7.0,2,641.490411
-7.0,5,641.499409
-7.0,5,641.50541
-7.0,1,641.507406
-7.0,3,641.516407
-7.0,2,641.519409
-7.0,1,641.522407
-7.0,1,641.524405
-7.0,1,641.528408
-7.0,1,641.53141
-7.0,2,641.534406
-7.0,4,641.540408
-7.0,1,641.544409
-7.0,1,641.54741
-7.0,1,641.548409
-7.0,4,641.551406
-7.0,5,641.561408
-7.0,1,641.565409
-7.0,4,641.569407
-7.0,1,641.570413
-7.0,2,641.574419
-7.0,2,641.577417
-7.0,1,641.579418
-7.0,1,641.581415
-7.0,1,641.585664
-7.0,4,641.589664
-7.0,3,641.592663
-7.0,4,641.596682
-7.0,1,641.600666
-7.0,2,641.603666
-7.0,4,641.606661
-7.0,1,641.608662
-7.0,3,641.614062
-7.0,2,641.617064
-7.0,1,641.619068
-7.0,1,641.620063
-7.0,1,641.624683
-10.0,3,641.627681
-7.0,1,641.630684
-7.0,2,641.633686
0.0,5,641.640687
-7.0,3,641.643688
-7.0,1,641.646688
-7.0,4,641.649683
-7.0,2,641.654682
-7.0,1,641.656686
-7.0,2,641.658683
-7.0,1,641.660687
-7.0,1,641.664687
-7.0,1,641.666684
-7.0,4,641.669689
-7.0,4,641.673688
-7.0,1,641.676688
-7.0,1,641.679698
-7.0,3,641.682692
-7.0,3,641.685199
-7.0,1,641.689284
-7.0,4,641.692285
-7.0,2,641.694287
-7.0,1,641.696295
-7.0,1,641.699284
-7.0,3,641.702287
-7.0,3,641.705283
-7.0,3,641.708285
-7.0,1,641.711636
-7.0,3,641.715635
-7.0,1,641.717638
-7.0,3,641.720634
-7.0,1,641.723633
-7.0,1,641.725634
-7.0,1,641.726639
-7.0,1,641.729646
-7.0,1,641.733636
-7.0,4,641.737633
-7.0,3,641.740634
-7.0,1,641.741633
-7.0,4,641.74717
-7.0,1,641.749169
-7.0,2,641.750168
-7.0,1,641.752172
-7.0,1,641.756168
-7.0,1,641.757168
-7.0,1,641.759166
-7.0,3,641.764169
-7.0,4,641.770173
-7.0,4,641.773181
-7.0,1,641.776177
-7.0,1,641.778176
-7.0,2,641.78318
